Gene.stable.ID	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Transcript.count	Gene_length	max_no_exons	EXS_events	INTR_events	ALTA_events	ALTD_events	gc_content_gene	gc_content_exon	gc_content_intron	conservation_gene	conservation_exon	conservation_intron	scope
ENSG1000000000	chr7	4780451	19070277	17	44419	25	9	0	14	2	0.6189181463118214	0.3101545422641379	0.31247325402451387	0.9877223897360315	0.6340057030996114	0.48050694725782894	intermediate
ENSG1000000001	chr20	7469345	11119043	17	166819	3	18	18	13	0	0.35996697093950947	0.36246103894647613	0.40490561771993	0.42777313373586234	0.5399853797158555	0.10493017841817487	intermediate
ENSG1000000002	chr15	2109819	17103230	12	121672	9	6	12	13	5	0.3917005580930566	0.586388891538959	0.5380311722801019	0.3843266471596817	0.7798453951511436	0.24204501586252747	central
ENSG1000000003	chr11	2231786	12558231	14	95258	17	2	12	1	17	0.5889010273572265	0.5635695767640605	0.3205703253937001	0.6796472826930698	0.10698063882695841	0.9866625932671464	peripheral
ENSG1000000004	chr8	3853340	16659908	6	194324	17	12	3	12	9	0.5880146146184297	0.3108383970013934	0.4985464988804945	0.21825388786506417	0.761027902502028	0.14249554290151323	intermediate
ENSG1000000005	chr21	9467720	13080389	3	57073	20	12	0	13	4	0.5564590531541189	0.38878886477317975	0.5387371395667556	0.9499611839502253	0.5412665786761103	0.49888815345135606	peripheral
ENSG1000000006	chr7	996108	11661909	9	59601	16	17	16	18	9	0.57757937778684	0.3924299186352285	0.4336975563267843	0.786345014415552	0.9629920038589946	0.6181557343181191	central
ENSG1000000007	chr19	7130145	12656138	5	27146	25	19	7	6	11	0.5170897773390384	0.5687570974394913	0.6083648814983287	0.08941100231225951	0.3418721660386861	0.702464970544104	intermediate
ENSG1000000008	chrX	4545584	10110078	17	104685	22	7	1	2	1	0.40071962356278107	0.30788421510174563	0.3426393012535087	0.41758077578492836	0.6326218931339481	0.5596486834869141	peripheral
ENSG1000000009	chr11	3747390	11915631	14	23549	13	8	7	14	12	0.43827839740156777	0.3416434327938295	0.33005511269432347	0.8791183075621647	0.9320281055100175	0.00977084741918366	intermediate
ENSG1000000010	chr11	4142808	16314127	3	98616	27	6	6	13	7	0.3726390867205702	0.6199664341492757	0.5912755024814413	0.9447320222914103	0.10250972799067926	0.3264613082439919	central
ENSG1000000011	chr21	7988005	19792712	1	97879	19	0	1	10	1	0.6633802245334512	0.37141786482173345	0.49819652648247936	0.4674015112498697	0.9372284872364511	0.5177116433847114	peripheral
ENSG1000000012	chr4	6245036	12008187	1	68885	17	2	2	14	19	0.5333567179064481	0.5610984431407499	0.5753609585710944	0.6134113892107077	0.6878857223008134	0.08786649914483335	central
ENSG1000000013	chr8	3602280	11659066	3	126631	4	12	17	12	0	0.4603405667054559	0.39527311241869056	0.47393093544149845	0.16703394609207523	0.0678370591051719	0.35062693120918076	central
ENSG1000000014	chr3	5515990	12148815	18	171730	12	16	11	17	4	0.484802321457653	0.33977655710373805	0.3985608132956427	0.9911686261369765	0.30096356694681625	0.033203108791366565	intermediate
ENSG1000000015	chr22	2121691	17355740	10	196989	29	0	0	5	8	0.6789133358447261	0.3972688763997816	0.6276409270696799	0.2316717013834434	0.7081720886452816	0.07857849715502074	peripheral
ENSG1000000016	chr21	491235	14506259	3	23789	9	5	11	2	16	0.36134056124643205	0.5889067727422637	0.6197663515875917	0.9427317741351257	0.0673506014687717	0.39692327620159606	central
ENSG1000000017	chr2	9909710	17473915	8	110726	19	5	4	18	8	0.5344919328067188	0.6422785872425143	0.5778785883417707	0.6496466489923685	0.5821704601762733	0.13271575404306035	central
ENSG1000000018	chr12	5401219	17658426	14	101293	12	11	16	14	10	0.5023554715537863	0.6320879458267966	0.40885805489198507	0.6077367948788591	0.34588305695295674	0.5675408482615582	peripheral
ENSG1000000019	chr6	6914551	16404003	18	10323	9	12	15	4	14	0.544581694173859	0.4588734118473819	0.5360922667476348	0.5126885110165086	0.6209155177674771	0.6894649691372657	central
ENSG1000000020	chr2	6167295	14135314	15	191732	7	12	14	9	5	0.3072440735283362	0.5672340546282584	0.4443895587760107	0.2306698117177587	0.04574203381251285	0.8005866991090829	central
ENSG1000000021	chr21	9286030	10910681	2	42475	28	14	14	6	2	0.6488495635776605	0.3819937181663284	0.33663282933065364	0.17652803200550826	0.8715368061523763	0.2001502442448101	peripheral
ENSG1000000022	chr1	6906727	11607618	10	10040	14	15	4	16	16	0.6728473129934449	0.41725909210440526	0.666925430184897	0.22048620907017535	0.9734889691773969	0.16748258225906976	peripheral
